Game Type:,Hive-PLM
TotNrGames:,194
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black wins, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
HV-stepanzo-Eucalyx-2016-07-31-0132,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0wA1+3-2bQ+2-1wQ+0-1bL+1+0bM+2+0bA1+1+1&title=HV-stepanzo-Eucalyx-2016-07-31-0132%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-stepanzo-Eucalyx-2016-07-31-0132, ",""
T!HV-Eucalyx-stepanzo-2016-07-31-0152,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1-1+2bQ+2-1wA1-1+1bM+1+0wP-1+0wQ+0-1wM+0+0&title=T!HV-Eucalyx-stepanzo-2016-07-31-0152%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Eucalyx-stepanzo-2016-07-31-0152, ",""
T!HV-Eucalyx-stepanzo-2016-07-31-0211,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+1+0bA1-2+2wQ+0-1wA1-1+1wP-1+0bQ+1+1wM+0+0&title=T!HV-Eucalyx-stepanzo-2016-07-31-0211%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-stepanzo-2016-07-31-0211, ","",""
T!HV-Eucalyx-stepanzo-2016-07-24-0102,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wM+0+0bM+2+0bQ+2-1bA1+1+1wP-1+0bL+1+0wA1+1-2&title=T!HV-Eucalyx-stepanzo-2016-07-24-0102%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Eucalyx-stepanzo-2016-07-24-0102, ",""
HV-Eucalyx-lambda22-2016-06-28-1003,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bM-2+0wA1+1-2wM-1+0bQ+2-1wQ+0-1bG1+1+0&title=HV-Eucalyx-lambda22-2016-06-28-1003%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Eucalyx-lambda22-2016-06-28-1003, ","",""
HV-lambda22-Eucalyx-2016-07-03-0213,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM-1+0wB1-1+1wQ+0-1bP+1+0bQ+2-1bA1+1+1wG1+0+0bM+2+0&title=HV-lambda22-Eucalyx-2016-07-03-0213%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-lambda22-Eucalyx-2016-07-03-0213, ",""
T!HV-Eucalyx-lambda22-2016-06-29-1048,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bG1+1+0wM+0+0wP-1+0wA1+1-2bA1+2+1bM+2+0wQ+0-1&title=T!HV-Eucalyx-lambda22-2016-06-29-1048%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Eucalyx-lambda22-2016-06-29-1048, ",""
T!HV-Eucalyx-lambda22-2016-07-03-0120,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bG1+1+0wA1+1-2wP-1+0wM+0+0bQ+1+1bA1+2-1bM+2+0&title=T!HV-Eucalyx-lambda22-2016-07-03-0120%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-lambda22-2016-07-03-0120, ","",""
T!HV-lambda22-Eucalyx-2016-06-28-1101,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bA1+2-1bQ+1+1wQ+0-1wA1-1-1wM-1+0bP+1+0bG1+2+0&title=T!HV-lambda22-Eucalyx-2016-06-28-1101%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-lambda22-Eucalyx-2016-06-28-1101, ",""
T!HV-lambda22-Eucalyx-2016-06-29-1006,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM-1+0bG1+2+0wA1-1-1bP+0+2bL+1+0wQ+0-1bQ+1+1wG1+0+0&title=T!HV-lambda22-Eucalyx-2016-06-29-1006%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-lambda22-Eucalyx-2016-06-29-1006, ","",""
U!HV-Eucalyx-lambda22-2016-07-03-0242,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1wQ-1-1wS1+0+0wM-1+0bM-2+0bG1+1+0wP+0-1&title=U!HV-Eucalyx-lambda22-2016-07-03-0242%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-Eucalyx-lambda22-2016-07-03-0242, ","",""
